"project_id","placename","longitude","latitude","feature_type","elevation","elev_units","road_dist_m","water_dist_m"
"DF_2022",-2845.62102807858,-78.993641,36.023419,"On trail",151,"meters",35.6368974685881,968.298259974344
"DF_2022",-2845.59487417065,-78.99395,36.022947,"Unknown",149,"meters",94.3588822777126,1008.98195840576
"DF_2022",-2845.65233784409,-78.995111,36.023145,"Unknown",153,"meters",71.2526403514948,960.63313476449
"DF_2022",-2845.70554576247,-78.995428,36.023674,"Unknown",155,"meters",41.3181212058381,897.16661671301
"DF_2022",-2845.73307183234,-78.994997,36.024219,"Unknown",151,"meters",87.8192739655238,846.977599842495
"DF_2022",-2845.76420527468,-78.995199,36.024521,"Unknown",153,"meters",74.492663609451,809.93201492524
"DF_2022",-2845.78613218618,-78.994913,36.024929,"Unknown",153,"meters",70.9697855691393,772.880111463661
"DF_2022",-2845.74570399235,-78.994328,36.024684,"Unknown",148,"meters",122.450883108787,815.023513277856
"DF_2022",-2845.70670883739,-78.993592,36.024526,"Unknown",150,"meters",53.9759145528349,855.502265238122
"DF_2022",-2845.62102807858,-78.993641,36.023419,"Unknown",151,"meters",35.6368974685881,968.298259974344
"DF_2022",-2845.6312052175,-78.99402,36.023375,"Unknown",148,"meters",65.8627912060343,961.754117060655
"DF_2022",-2845.70087099763,-78.994022,36.024256,"Unknown",148,"meters",81.9421915848307,869.121285439573
"DF_2022",-2845.7453426342,-78.99334,36.02513,"Unknown",148,"meters",50.2387198087355,804.127203945161
"DF_2022",-2845.60410737862,-78.99418,36.022959,"Unknown",149,"meters",106.097923068109,1001.6356296663
"DF_2022",-2845.71563785825,-78.994956,36.024017,"Unknown",151,"meters",87.28994107246,869.651172894816
"DF_2022",-2845.6835278608,-78.99408,36.02401,"Unknown",149,"meters",74.4400165363317,893.127120307802
"DF_2022",-2845.74531805131,-78.994587,36.024561,"Unknown",149,"meters",119.171414888541,820.592135296604
"DF_2022",-2845.63428861333,-78.994781,36.023067,"Unknown",151,"meters",101.982030764231,975.892736859253
"DF_2022",-2845.6951585608,-78.99528,36.02361,"Unknown",152,"meters",53.9040172028806,906.871926768931
"DF_2022",-2845.7428558824,-78.99417,36.02472,"Unknown",146,"meters",109.84488993584,816.113543291556
"DF_2022",-2845.62435405673,-78.994264,36.023177,"Unknown",148,"meters",96.0621417313771,976.247762872438
